local,raca_cor,ano,idade_mae,nascidos_vivos
Fortaleza,Total,1994,10 a 14 anos,687
Fortaleza,Total,1995,10 a 14 anos,255
Fortaleza,Total,1996,10 a 14 anos,283
Fortaleza,Total,1997,10 a 14 anos,331
Fortaleza,Total,1998,10 a 14 anos,377
Fortaleza,Total,1999,10 a 14 anos,332
Fortaleza,Total,2000,10 a 14 anos,358
Fortaleza,Total,2001,10 a 14 anos,372
Fortaleza,Total,2002,10 a 14 anos,320
Fortaleza,Total,2003,10 a 14 anos,357
Fortaleza,Total,2004,10 a 14 anos,319
Fortaleza,Total,2005,10 a 14 anos,268
Fortaleza,Total,2006,10 a 14 anos,403
Fortaleza,Total,2007,10 a 14 anos,345
Fortaleza,Total,2008,10 a 14 anos,391
Fortaleza,Total,2009,10 a 14 anos,395
Fortaleza,Total,2010,10 a 14 anos,364
Fortaleza,Total,2011,10 a 14 anos,340
Fortaleza,Total,2012,10 a 14 anos,393
Fortaleza,Total,2013,10 a 14 anos,335
Fortaleza,Total,2014,10 a 14 anos,382
Fortaleza,Total,2015,10 a 14 anos,374
Fortaleza,Total,2016,10 a 14 anos,316
Fortaleza,Total,2017,10 a 14 anos,273
Fortaleza,Total,2018,10 a 14 anos,266
Fortaleza,Total,2019,10 a 14 anos,210
Fortaleza,Total,2020,10 a 14 anos,206
Fortaleza,Total,2021,10 a 14 anos,183
Fortaleza,Total,2022,10 a 14 anos,155
Fortaleza,Total,1994,15 a 19 anos,3454
Fortaleza,Total,1995,15 a 19 anos,5240
Fortaleza,Total,1996,15 a 19 anos,6384
Fortaleza,Total,1997,15 a 19 anos,7014
Fortaleza,Total,1998,15 a 19 anos,8481
Fortaleza,Total,1999,15 a 19 anos,7615
Fortaleza,Total,2000,15 a 19 anos,8086
Fortaleza,Total,2001,15 a 19 anos,8430
Fortaleza,Total,2002,15 a 19 anos,7763
Fortaleza,Total,2003,15 a 19 anos,8112
Fortaleza,Total,2004,15 a 19 anos,7720
Fortaleza,Total,2005,15 a 19 anos,7422
