local,raca_cor,ano,genero,domestico_cuidado_media_horas
Brasil,Branca,2016,Total,"16,5"
Brasil,Branca,2016,Fem,"20,7"
Brasil,Branca,2016,Masc,"11,0"
Ceará,Branca,2016,Total,"17,2"
Ceará,Branca,2016,Fem,"20,6"
Ceará,Branca,2016,Masc,"11,2"
Fortaleza,Branca,2016,Total,"16,2"
Fortaleza,Branca,2016,Fem,"18,8"
Fortaleza,Branca,2016,Masc,"11,5"
Nordeste,Branca,2016,Total,"17,4"
Nordeste,Branca,2016,Fem,"21,3"
Nordeste,Branca,2016,Masc,"11,0"
Brasil,Parda,2016,Masc,"11,0"
Brasil,Preta,2016,Masc,"11,3"
Brasil,Parda,2017,Masc,"10,7"
Brasil,Preta,2017,Masc,"11,6"
Brasil,Parda,2018,Masc,"10,8"
Brasil,Preta,2018,Masc,"11,3"
Brasil,Parda,2019,Masc,"11,0"
Brasil,Preta,2019,Masc,"11,2"
Brasil,Parda,2022,Masc,"11,7"
Brasil,Preta,2022,Masc,"11,9"
Brasil,Parda,2016,Fem,"21,4"
Brasil,Preta,2016,Fem,"21,5"
Brasil,Parda,2017,Fem,"21,4"
Brasil,Preta,2017,Fem,"21,8"
Brasil,Parda,2018,Fem,"21,8"
Brasil,Preta,2018,Fem,"22,2"
Brasil,Parda,2019,Fem,"22,2"
Brasil,Preta,2019,Fem,"21,9"
Brasil,Parda,2022,Fem,"22,1"
Brasil,Preta,2022,Fem,"21,6"
Brasil,Parda,2016,Total,"16,9"
Brasil,Preta,2016,Total,"16,9"
Brasil,Parda,2017,Total,"16,7"
Brasil,Preta,2017,Total,"17,1"
Brasil,Total,2016,Total,"16,7"
Brasil,Total,2016,Fem,"21,1"
Brasil,Total,2016,Masc,"11,1"
Ceará,Total,2016,Total,"17,6"
Ceará,Total,2016,Fem,"21,9"
Ceará,Total,2016,Masc,"11,2"
Fortaleza,Total,2016,Total,"17,0"
Fortaleza,Total,2016,Fem,"20,8"
Fortaleza,Total,2016,Masc,"11,3"
Nordeste,Total,2016,Total,"17,5"
Nordeste,Total,2016,Fem,"22,0"
Nordeste,Total,2016,Masc,"11,0"
Brasil,Branca,2017,Total,"16,3"
Brasil,Branca,2017,Fem,"20,5"
Brasil,Branca,2017,Masc,"10,9"
Ceará,Branca,2017,Total,"15,8"
Ceará,Branca,2017,Fem,"19,6"
Ceará,Branca,2017,Masc,"10,0"
Fortaleza,Parda,2016,Masc,"11,1"
Fortaleza,Preta,2016,Masc,"12,5"
Fortaleza,Parda,2016,Fem,"21,9"
Nordeste,Branca,2017,Total,"16,9"
Nordeste,Branca,2017,Fem,"21,2"
Nordeste,Branca,2017,Masc,"10,6"
Brasil,Parda,2018,Total,"16,9"
Brasil,Preta,2018,Total,"17,1"
Brasil,Parda,2019,Total,"17,2"
Brasil,Preta,2019,Total,"16,9"
Brasil,Parda,2022,Total,"17,4"
Brasil,Preta,2022,Total,"17,1"
Ceará,Parda,2016,Masc,"11,1"
Ceará,Preta,2016,Masc,"11,7"
Ceará,Parda,2017,Masc,"10,4"
Ceará,Preta,2017,Masc,"12,3"
Ceará,Parda,2018,Masc,"9,9"
Ceará,Preta,2018,Masc,"10,8"
Ceará,Parda,2019,Masc,"10,2"
Ceará,Preta,2019,Masc,"10,8"
Ceará,Parda,2022,Masc,"12,8"
Ceará,Preta,2022,Masc,"13,4"
Ceará,Parda,2016,Fem,"22,4"
