local,raca_cor,ano,genero,numero_assentos_mulheres
Fortaleza,Total,2000,Fem,4
Fortaleza,Total,2000,Masc,37
Fortaleza,Total,2004,Fem,5
Fortaleza,Total,2004,Masc,36
Fortaleza,Total,2008,Fem,5
Fortaleza,Total,2008,Masc,37
Fortaleza,Total,2012,Fem,7
Fortaleza,Total,2012,Masc,36
Brasil,Total,2016,Fem,7815
Nordeste,Total,2016,Fem,2896
Ceará,Total,2016,Fem,355
Brasil,Branca,2016,Fem,4875
Brasil,Preta,2016,Fem,330
Brasil,Amarela,2016,Fem,39
Brasil,Parda,2016,Fem,2549
Brasil,Indígena,2016,Fem,22
Brasil,Branca,2016,Masc,33031
Brasil,Preta,2016,Masc,2919
Brasil,Amarela,2016,Masc,296
Brasil,Parda,2016,Masc,21452
Brasil,Indígena,2016,Masc,168
Fortaleza,Branca,2016,Fem,3
Fortaleza,Parda,2016,Fem,3
Fortaleza,Total,2016,Fem,6
Fortaleza,Branca,2016,Masc,17
Fortaleza,Parda,2016,Masc,19
Fortaleza,Preta,2016,Masc,1
Fortaleza,Total,2016,Masc,37
Brasil,Total,2020,Fem,9301
Nordeste,Total,2020,Fem,3227
Ceará,Total,2020,Fem,407
Brasil,Branca,2020,Fem,5488
Brasil,Preta,2020,Fem,491
Brasil,Amarela,2020,Fem,47
Brasil,Parda,2020,Fem,3160
Brasil,Indígena,2020,Fem,29
Brasil,Branca,2020,Masc,31109
Brasil,Preta,2020,Masc,3591
Brasil,Amarela,2020,Masc,232
Brasil,Parda,2020,Masc,22393
Brasil,Indígena,2020,Masc,184
Fortaleza,Branca,2020,Fem,2
Fortaleza,Parda,2020,Fem,5
Fortaleza,Preta,2020,Fem,2
Fortaleza,Total,2020,Fem,9
Fortaleza,Branca,2020,Masc,16
Fortaleza,Parda,2020,Masc,18
Fortaleza,Total,2020,Masc,34
