local,raca_cor,ano,genero,notificacoes_violencia_contra_mulher
Brasil,Ignorado,2003,Total,1
Brasil,Branca,2003,Total,-
Brasil,Preta,2003,Total,-
Brasil,Amarela,2003,Total,-
Brasil,Parda,2003,Total,-
Brasil,Indigena,2003,Total,-
Brasil,Total,2003,Total,1
Brasil,Ignorado,2009,Total,3050
Brasil,Branca,2009,Total,8308
Brasil,Preta,2009,Total,1508
Brasil,Amarela,2009,Total,137
Brasil,Parda,2009,Total,5649
Brasil,Indigena,2009,Total,111
Brasil,Total,2009,Total,18763
Ceará,Ignorado,2009,Total,7
Ceará,Branca,2009,Total,26
Ceará,Preta,2009,Total,14
Ceará,Amarela,2009,Total,-
Ceará,Parda,2009,Total,137
Ceará,Indigena,2009,Total,3
Ceará,Total,2009,Total,187
Fortaleza,Ignorado,2009,Total,1
Fortaleza,Branca,2009,Total,1
Fortaleza,Preta,2009,Total,1
Fortaleza,Amarela,2009,Total,-
Fortaleza,Parda,2009,Total,27
Fortaleza,Indigena,2009,Total,-
Fortaleza,Total,2009,Total,30
Nordeste,Ignorado,2009,Total,1031
Nordeste,Branca,2009,Total,513
Nordeste,Preta,2009,Total,289
Nordeste,Amarela,2009,Total,17
Nordeste,Parda,2009,Total,1268
Nordeste,Indigena,2009,Total,20
Nordeste,Total,2009,Total,3138
Brasil,Ignorado,2010,Total,5699
Brasil,Branca,2010,Total,14633
Brasil,Preta,2010,Total,2685
Brasil,Amarela,2010,Total,240
Brasil,Parda,2010,Total,10229
Brasil,Indigena,2010,Total,170
Brasil,Total,2010,Total,33656
Ceará,Ignorado,2010,Total,4
Ceará,Branca,2010,Total,50
Ceará,Preta,2010,Total,22
Ceará,Amarela,2010,Total,5
Ceará,Parda,2010,Total,195
Ceará,Indigena,2010,Total,2
Ceará,Total,2010,Total,278
Fortaleza,Ignorado,2010,Total,2
Fortaleza,Branca,2010,Total,2
Fortaleza,Preta,2010,Total,1
Fortaleza,Amarela,2010,Total,1
Fortaleza,Parda,2010,Total,13
Fortaleza,Indigena,2010,Total,-
Fortaleza,Total,2010,Total,19
Nordeste,Ignorado,2010,Total,2388
Nordeste,Branca,2010,Total,780
Nordeste,Preta,2010,Total,552
Nordeste,Amarela,2010,Total,49
Nordeste,Parda,2010,Total,2043
Nordeste,Indigena,2010,Total,25
Nordeste,Total,2010,Total,5837
Brasil,Ignorado,2011,Total,7417
Brasil,Branca,2011,Total,23129
Brasil,Preta,2011,Total,4492
Brasil,Amarela,2011,Total,404
Brasil,Parda,2011,Total,16539
Brasil,Indigena,2011,Total,295
Brasil,Total,2011,Total,52276
Ceará,Ignorado,2011,Total,11
Ceará,Branca,2011,Total,47
Ceará,Preta,2011,Total,24
Ceará,Amarela,2011,Total,2
Ceará,Parda,2011,Total,264
Ceará,Indigena,2011,Total,3
Ceará,Total,2011,Total,351
Fortaleza,Ignorado,2011,Total,1
Fortaleza,Branca,2011,Total,-
Fortaleza,Preta,2011,Total,2
Fortaleza,Amarela,2011,Total,-
Fortaleza,Parda,2011,Total,10
Fortaleza,Indigena,2011,Total,-
Fortaleza,Total,2011,Total,13
Nordeste,Ignorado,2011,Total,2651
Nordeste,Branca,2011,Total,1184
Nordeste,Preta,2011,Total,840
Nordeste,Amarela,2011,Total,55
Nordeste,Parda,2011,Total,3663
Nordeste,Indigena,2011,Total,39
Nordeste,Total,2011,Total,8432
Brasil,Ignorado,2012,Total,9234
Brasil,Branca,2012,Total,34424
Brasil,Preta,2012,Total,6524
Brasil,Amarela,2012,Total,458
Brasil,Parda,2012,Total,24702
Brasil,Indigena,2012,Total,502
Brasil,Total,2012,Total,75844
Ceará,Ignorado,2012,Total,27
Ceará,Branca,2012,Total,114
Ceará,Preta,2012,Total,39
Ceará,Amarela,2012,Total,2
Ceará,Parda,2012,Total,425
Ceará,Indigena,2012,Total,1
Ceará,Total,2012,Total,608
Fortaleza,Ignorado,2012,Total,15
Fortaleza,Branca,2012,Total,54
Fortaleza,Preta,2012,Total,18
Fortaleza,Amarela,2012,Total,-
Fortaleza,Parda,2012,Total,57
Fortaleza,Indigena,2012,Total,-
Fortaleza,Total,2012,Total,144
Nordeste,Ignorado,2012,Total,2912
Nordeste,Branca,2012,Total,1404
Nordeste,Preta,2012,Total,1061
Nordeste,Amarela,2012,Total,55
Nordeste,Parda,2012,Total,5315
Nordeste,Indigena,2012,Total,62
Nordeste,Total,2012,Total,10809
Brasil,Ignorado,2013,Total,11119
Brasil,Branca,2013,Total,39807
Brasil,Preta,2013,Total,7609
Brasil,Amarela,2013,Total,717
Brasil,Parda,2013,Total,32248
Brasil,Indigena,2013,Total,775
Brasil,Total,2013,Total,92275
Ceará,Ignorado,2013,Total,73
Ceará,Branca,2013,Total,91
Ceará,Preta,2013,Total,52
Ceará,Amarela,2013,Total,1
Ceará,Parda,2013,Total,473
Ceará,Indigena,2013,Total,3
Ceará,Total,2013,Total,693
Fortaleza,Ignorado,2013,Total,8
Fortaleza,Branca,2013,Total,19
Fortaleza,Preta,2013,Total,12
Fortaleza,Amarela,2013,Total,-
Fortaleza,Parda,2013,Total,39
Fortaleza,Indigena,2013,Total,-
Fortaleza,Total,2013,Total,78
Nordeste,Ignorado,2013,Total,3528
Nordeste,Branca,2013,Total,2195
Nordeste,Preta,2013,Total,1448
Nordeste,Amarela,2013,Total,242
Nordeste,Parda,2013,Total,7641
Nordeste,Indigena,2013,Total,108
Nordeste,Total,2013,Total,15162
Brasil,Ignorado,2014,Total,12906
Brasil,Branca,2014,Total,43730
Brasil,Preta,2014,Total,8834
Brasil,Amarela,2014,Total,659
Brasil,Parda,2014,Total,37425
Brasil,Indigena,2014,Total,896
Brasil,Total,2014,Total,104450
Ceará,Ignorado,2014,Total,90
Ceará,Branca,2014,Total,169
Ceará,Preta,2014,Total,62
Ceará,Amarela,2014,Total,11
Ceará,Parda,2014,Total,1056
Ceará,Indigena,2014,Total,3
Ceará,Total,2014,Total,1391
Fortaleza,Ignorado,2014,Total,67
Fortaleza,Branca,2014,Total,79
Fortaleza,Preta,2014,Total,19
Fortaleza,Amarela,2014,Total,6
Fortaleza,Parda,2014,Total,438
Fortaleza,Indigena,2014,Total,1
Fortaleza,Total,2014,Total,610
Nordeste,Ignorado,2014,Total,3385
Nordeste,Branca,2014,Total,1800
Nordeste,Preta,2014,Total,1450
Nordeste,Amarela,2014,Total,104
Nordeste,Parda,2014,Total,8313
Nordeste,Indigena,2014,Total,92
Nordeste,Total,2014,Total,15144
Brasil,Ignorado,2015,Total,14397
Brasil,Branca,2015,Total,50321
Brasil,Preta,2015,Total,10471
Brasil,Amarela,2015,Total,773
Brasil,Parda,2015,Total,45667
Brasil,Indigena,2015,Total,1010
Brasil,Total,2015,Total,122639
Ceará,Ignorado,2015,Total,146
Ceará,Branca,2015,Total,203
Ceará,Preta,2015,Total,73
Ceará,Amarela,2015,Total,9
Ceará,Parda,2015,Total,1186
Ceará,Indigena,2015,Total,10
Ceará,Total,2015,Total,1627
Fortaleza,Ignorado,2015,Total,101
Fortaleza,Branca,2015,Total,67
Fortaleza,Preta,2015,Total,20
Fortaleza,Amarela,2015,Total,5
Fortaleza,Parda,2015,Total,432
Fortaleza,Indigena,2015,Total,3
Fortaleza,Total,2015,Total,628
Nordeste,Ignorado,2015,Total,3645
Nordeste,Branca,2015,Total,2136
Nordeste,Preta,2015,Total,1530
Nordeste,Amarela,2015,Total,110
Nordeste,Parda,2015,Total,10021
Nordeste,Indigena,2015,Total,86
Nordeste,Total,2015,Total,17528
Brasil,Ignorado,2016,Total,14264
Brasil,Branca,2016,Total,54970
Brasil,Preta,2016,Total,11719
Brasil,Amarela,2016,Total,890
Brasil,Parda,2016,Total,52182
Brasil,Indigena,2016,Total,1161
Brasil,Total,2016,Total,135186
Ceará,Ignorado,2016,Total,124
Ceará,Branca,2016,Total,280
Ceará,Preta,2016,Total,98
