local,raca_cor,ano,genero,ocorrencias_violencia_domestica
Ceará,Ignorado,2023,Fem,24130
Ceará,Ignorado,2022,Fem,19407
Ceará,Ignorado,2021,Fem,18889
Ceará,Ignorado,2020,Fem,18903
Ceará,Ignorado,2019,Fem,22760
Ceará,Ignorado,2018,Fem,21571
Ceará,Ignorado,2017,Fem,23374
Ceará,Ignorado,2016,Fem,23213
Ceará,Ignorado,2015,Fem,13371
Fortaleza,Ignorado,2023,Fem,9382
Fortaleza,Ignorado,2022,Fem,7204
Fortaleza,Ignorado,2021,Fem,6944
Fortaleza,Ignorado,2020,Fem,6714
Fortaleza,Ignorado,2019,Fem,8809
Fortaleza,Ignorado,2018,Fem,8648
Fortaleza,Ignorado,2017,Fem,10237
Fortaleza,Ignorado,2016,Fem,10752
Fortaleza,Ignorado,2015,Fem,5709
