local,raca_cor,ano,genero,idade,taxa_ocupacao
Brasil,Branca,2012,Total,Total,"93,9%"
Brasil,Branca,2012,Masc,14-19,"84,3%"
Brasil,Branca,2012,Masc,20-29,"92,5%"
Brasil,Branca,2012,Masc,30-39,"96,6%"
Brasil,Branca,2012,Masc,40-49,"97,4%"
Brasil,Branca,2012,Masc,50-59,"97,4%"
Brasil,Branca,2012,Masc,60-65,"98,8%"
Brasil,Branca,2012,Masc,66+,"98,9%"
Brasil,Branca,2012,Fem,14-19,"77,3%"
Brasil,Branca,2012,Fem,20-29,"89,4%"
Brasil,Branca,2012,Fem,30-39,"93,5%"
Brasil,Branca,2012,Fem,40-49,"96,3%"
Brasil,Branca,2012,Fem,50-59,"96,6%"
Brasil,Branca,2012,Fem,60-65,"97,8%"
Brasil,Branca,2012,Fem,66+,"98,9%"
Brasil,Branca,2012,Masc,Total,"95,1%"
Brasil,Branca,2012,Fem,Total,"92,5%"
Brasil,Branca,2012,Total,14-19,"81,2%"
Brasil,Branca,2012,Total,20-29,"91,1%"
Brasil,Branca,2012,Total,30-39,"95,2%"
Brasil,Branca,2012,Total,40-49,"96,9%"
Brasil,Branca,2012,Total,50-59,"97,1%"
Brasil,Branca,2012,Total,60-65,"98,4%"
Brasil,Branca,2012,Total,66+,"98,9%"
Brasil,Branca,2013,Total,Total,"94,2%"
Brasil,Branca,2013,Masc,14-19,"84,9%"
Brasil,Branca,2013,Masc,20-29,"93,3%"
Brasil,Branca,2013,Masc,30-39,"96,3%"
Brasil,Branca,2013,Masc,40-49,"97,4%"
Brasil,Branca,2013,Masc,50-59,"97,5%"
Brasil,Branca,2013,Masc,60-65,"98,5%"
Brasil,Branca,2013,Masc,66+,"99,4%"
Brasil,Branca,2013,Fem,14-19,"76,5%"
Brasil,Branca,2013,Fem,20-29,"89,5%"
Brasil,Branca,2013,Fem,30-39,"94,2%"
Brasil,Branca,2013,Fem,40-49,"95,6%"
Brasil,Branca,2013,Fem,50-59,"97,2%"
Brasil,Branca,2013,Fem,60-65,"98,4%"
Brasil,Branca,2013,Fem,66+,"98,4%"
Brasil,Branca,2013,Masc,Total,"95,4%"
Brasil,Branca,2013,Fem,Total,"92,6%"
Brasil,Branca,2013,Total,14-19,"81,1%"
Brasil,Branca,2013,Total,20-29,"91,5%"
Brasil,Branca,2013,Total,30-39,"95,3%"
Brasil,Branca,2013,Total,40-49,"96,6%"
Brasil,Branca,2013,Total,50-59,"97,4%"
Brasil,Branca,2013,Total,60-65,"98,5%"
Brasil,Branca,2013,Total,66+,"99,1%"
Brasil,Branca,2014,Total,Total,"94,3%"
Brasil,Branca,2014,Masc,14-19,"83,3%"
Brasil,Branca,2014,Masc,20-29,"92,3%"
Brasil,Branca,2014,Masc,30-39,"96,1%"
Brasil,Branca,2014,Masc,40-49,"97,5%"
Brasil,Branca,2014,Masc,50-59,"97,6%"
Brasil,Branca,2014,Masc,60-65,"98,2%"
Brasil,Branca,2014,Masc,66+,"99,2%"
Brasil,Branca,2014,Fem,14-19,"77,5%"
Brasil,Branca,2014,Fem,20-29,"90,1%"
Brasil,Branca,2014,Fem,30-39,"94,2%"
Brasil,Branca,2014,Fem,40-49,"96,2%"
Brasil,Branca,2014,Fem,50-59,"97,6%"
Brasil,Branca,2014,Fem,60-65,"98,7%"
Brasil,Branca,2014,Fem,66+,"99,2%"
Brasil,Branca,2014,Masc,Total,"95,1%"
Brasil,Branca,2014,Fem,Total,"93,3%"
Brasil,Branca,2014,Total,14-19,"80,8%"
