local,raca_cor,ano,genero,idade,total_desocupacao
Brasil,Branca,2012,Total,Total,2806392
Brasil,Branca,2012,Masc,14-19,285175
Brasil,Branca,2012,Masc,20-29,503516
Brasil,Branca,2012,Masc,30-39,216957
Brasil,Branca,2012,Masc,40-49,140650
Brasil,Branca,2012,Masc,50-59,99795
Brasil,Branca,2012,Masc,60-65,12918
Brasil,Branca,2012,Masc,66+,7916
Brasil,Branca,2012,Fem,14-19,319601
Brasil,Branca,2012,Fem,20-29,591998
Brasil,Branca,2012,Fem,30-39,354128
Brasil,Branca,2012,Fem,40-49,165815
Brasil,Branca,2012,Fem,50-59,91723
Brasil,Branca,2012,Fem,60-65,12788
Brasil,Branca,2012,Fem,66+,3413
Brasil,Branca,2012,Masc,Total,1266927
Brasil,Branca,2012,Fem,Total,1539465
Brasil,Branca,2012,Total,14-19,604776
Brasil,Branca,2012,Total,20-29,1095514
Brasil,Branca,2012,Total,30-39,571086
Brasil,Branca,2012,Total,40-49,306464
Brasil,Branca,2012,Total,50-59,191517
Brasil,Branca,2012,Total,60-65,25706
Brasil,Branca,2012,Total,66+,11328
Brasil,Branca,2013,Total,Total,2713796
Brasil,Branca,2013,Masc,14-19,250517
Brasil,Branca,2013,Masc,20-29,438259
Brasil,Branca,2013,Masc,30-39,242382
Brasil,Branca,2013,Masc,40-49,139072
Brasil,Branca,2013,Masc,50-59,95615
Brasil,Branca,2013,Masc,60-65,16293
Brasil,Branca,2013,Masc,66+,4598
Brasil,Branca,2013,Fem,14-19,320481
Brasil,Branca,2013,Fem,20-29,588819
Brasil,Branca,2013,Fem,30-39,327208
Brasil,Branca,2013,Fem,40-49,195837
Brasil,Branca,2013,Fem,50-59,80198
Brasil,Branca,2013,Fem,60-65,9844
Brasil,Branca,2013,Fem,66+,4671
Brasil,Branca,2013,Masc,Total,1186737
Brasil,Branca,2013,Fem,Total,1527059
Brasil,Branca,2013,Total,14-19,570998
Brasil,Branca,2013,Total,20-29,1027079
Brasil,Branca,2013,Total,30-39,569590
Brasil,Branca,2013,Total,40-49,334909
Brasil,Branca,2013,Total,50-59,175813
Brasil,Branca,2013,Total,60-65,26137
Brasil,Branca,2013,Total,66+,9270
Brasil,Branca,2014,Total,Total,2666079
Brasil,Branca,2014,Masc,14-19,262790
Brasil,Branca,2014,Masc,20-29,498982
Brasil,Branca,2014,Masc,30-39,247795
Brasil,Branca,2014,Masc,40-49,132439
Brasil,Branca,2014,Masc,50-59,94043
Brasil,Branca,2014,Masc,60-65,21797
Brasil,Branca,2014,Masc,66+,5796
Brasil,Branca,2014,Fem,14-19,281285
Brasil,Branca,2014,Fem,20-29,536553
Brasil,Branca,2014,Fem,30-39,329889
Brasil,Branca,2014,Fem,40-49,173905
Brasil,Branca,2014,Fem,50-59,70019
Brasil,Branca,2014,Fem,60-65,8185
Brasil,Branca,2014,Fem,66+,2599
Brasil,Branca,2014,Masc,Total,1263644
Brasil,Branca,2014,Fem,Total,1402436
Brasil,Branca,2014,Total,14-19,544075
Brasil,Branca,2014,Total,20-29,1035536
Brasil,Branca,2014,Total,30-39,577685
Brasil,Branca,2014,Total,40-49,306344
Brasil,Branca,2014,Total,50-59,164062
Brasil,Branca,2014,Total,60-65,29981
Brasil,Branca,2014,Total,66+,8396
Brasil,Branca,2015,Total,Total,3429462
Brasil,Branca,2015,Masc,14-19,353918
Brasil,Branca,2015,Masc,20-29,622244
Brasil,Branca,2015,Masc,30-39,311904
Brasil,Branca,2015,Masc,40-49,197356
Brasil,Branca,2015,Masc,50-59,121916
Brasil,Branca,2015,Masc,60-65,31701
Brasil,Branca,2015,Masc,66+,13214
Brasil,Branca,2015,Fem,14-19,333246
Brasil,Branca,2015,Fem,20-29,695410
Brasil,Branca,2015,Fem,30-39,414159
Brasil,Branca,2015,Fem,40-49,219074
Brasil,Branca,2015,Fem,50-59,94834
Brasil,Branca,2015,Fem,60-65,16763
Brasil,Branca,2015,Fem,66+,3722
Brasil,Branca,2015,Masc,Total,1652254
Brasil,Branca,2015,Fem,Total,1777209
Brasil,Branca,2015,Total,14-19,687164
Brasil,Branca,2015,Total,20-29,1317654
Brasil,Branca,2015,Total,30-39,726063
Brasil,Branca,2015,Total,40-49,416430
Brasil,Branca,2015,Total,50-59,216750
Brasil,Branca,2015,Total,60-65,48465
