local,ano,genero,raça,nível_ensino,rend_real_habitual
Fortaleza,2012,Total,Total,Total,"R$ 2.781,77"
Fortaleza,2012,Homem,Total,Total,"R$ 3.117,58"
Fortaleza,2012,Mulher,Total,Total,"R$ 2.377,36"
Fortaleza,2012,Total,Branca,Total,"R$ 3.760,45"
Fortaleza,2012,Total,Outros,Total,"R$ 2.267,63"
Fortaleza,2012,Total,Parda,Total,"R$ 2.268,25"
Fortaleza,2012,Total,Preta,Total,"R$ 3.220,38"
Fortaleza,2012,Homem,Branca,Total,"R$ 4.478,74"
Fortaleza,2012,Mulher,Branca,Total,"R$ 2.978,30"
Fortaleza,2012,Homem,Outros,Total,"R$ 2.176,77"
Fortaleza,2012,Mulher,Outros,Total,"R$ 2.352,63"
Fortaleza,2012,Homem,Parda,Total,"R$ 2.509,86"
Fortaleza,2012,Mulher,Parda,Total,"R$ 1.966,79"
Fortaleza,2012,Homem,Preta,Total,"R$ 2.605,98"
Fortaleza,2012,Mulher,Preta,Total,"R$ 4.256,07"
Fortaleza,2013,Total,Total,Total,"R$ 2.731,20"
Fortaleza,2013,Homem,Total,Total,"R$ 3.054,22"
Fortaleza,2013,Mulher,Total,Total,"R$ 2.345,78"
Fortaleza,2013,Total,Branca,Total,"R$ 3.791,60"
Fortaleza,2013,Total,Outros,Total,"R$ 1.966,45"
Fortaleza,2013,Total,Parda,Total,"R$ 2.188,39"
Fortaleza,2013,Total,Preta,Total,"R$ 1.513,77"
Fortaleza,2013,Homem,Branca,Total,"R$ 4.361,30"
Fortaleza,2013,Mulher,Branca,Total,"R$ 3.179,78"
Fortaleza,2013,Homem,Outros,Total,"R$ 2.643,76"
Fortaleza,2013,Mulher,Outros,Total,"R$ 1.415,38"
Fortaleza,2013,Homem,Parda,Total,"R$ 2.437,18"
Fortaleza,2013,Mulher,Parda,Total,"R$ 1.882,47"
Fortaleza,2013,Homem,Preta,Total,"R$ 1.720,45"
Fortaleza,2013,Mulher,Preta,Total,"R$ 1.156,95"
Fortaleza,2014,Total,Total,Total,"R$ 2.693,25"
Fortaleza,2014,Homem,Total,Total,"R$ 3.186,10"
Fortaleza,2014,Mulher,Total,Total,"R$ 2.101,76"
Fortaleza,2014,Total,Branca,Total,"R$ 3.637,35"
Fortaleza,2014,Total,Outros,Total,"R$ 11.561,73"
Fortaleza,2014,Total,Parda,Total,"R$ 2.173,09"
Fortaleza,2014,Total,Preta,Total,"R$ 2.024,16"
Fortaleza,2014,Homem,Branca,Total,"R$ 4.431,43"
Fortaleza,2014,Mulher,Branca,Total,"R$ 2.857,77"
Fortaleza,2014,Homem,Outros,Total,"R$ 13.680,26"
Fortaleza,2014,Mulher,Outros,Total,"R$ 4.105,35"
Fortaleza,2014,Homem,Parda,Total,"R$ 2.525,89"
Fortaleza,2014,Mulher,Parda,Total,"R$ 1.727,19"
Fortaleza,2014,Homem,Preta,Total,"R$ 2.450,80"
Fortaleza,2014,Mulher,Preta,Total,"R$ 1.233,69"
Fortaleza,2015,Total,Total,Total,"R$ 2.717,51"
Fortaleza,2015,Homem,Total,Total,"R$ 3.049,09"
Fortaleza,2015,Mulher,Total,Total,"R$ 2.309,39"
Fortaleza,2015,Total,Branca,Total,"R$ 3.339,54"
Fortaleza,2015,Total,Outros,Total,"R$ 1.508,93"
Fortaleza,2015,Total,Parda,Total,"R$ 2.502,64"
Fortaleza,2015,Total,Preta,Total,"R$ 2.106,32"
Fortaleza,2015,Homem,Branca,Total,"R$ 3.847,59"
Fortaleza,2015,Mulher,Branca,Total,"R$ 2.841,83"
Fortaleza,2015,Homem,Outros,Total,"R$ 1.914,91"
Fortaleza,2015,Mulher,Outros,Total,"R$ 1.010,21"
Fortaleza,2015,Homem,Parda,Total,"R$ 2.800,07"
Fortaleza,2015,Mulher,Parda,Total,"R$ 2.100,63"
Fortaleza,2015,Homem,Preta,Total,"R$ 2.490,27"
Fortaleza,2015,Mulher,Preta,Total,"R$ 1.582,67"
Fortaleza,2016,Total,Total,Total,"R$ 2.743,52"
Fortaleza,2016,Homem,Total,Total,"R$ 3.105,35"
Fortaleza,2016,Mulher,Total,Total,"R$ 2.296,19"
Fortaleza,2016,Total,Branca,Total,"R$ 3.646,80"
Fortaleza,2016,Total,Outros,Total,"R$ 4.395,28"
Fortaleza,2016,Total,Parda,Total,"R$ 2.392,14"
Fortaleza,2016,Total,Preta,Total,"R$ 1.723,19"
Fortaleza,2016,Homem,Branca,Total,"R$ 4.324,93"
Fortaleza,2016,Mulher,Branca,Total,"R$ 2.903,53"
Fortaleza,2016,Homem,Outros,Total,"R$ 7.805,57"
Fortaleza,2016,Mulher,Outros,Total,"R$ 1.886,10"
Fortaleza,2016,Homem,Parda,Total,"R$ 2.637,81"
