Local,raca_cor,ano,mortalidade_materna
Brasil,Amarela,1996,"1.061,71"
Brasil,Amarela,1997,"135,65"
Brasil,Amarela,1998,"117,59"
Brasil,Amarela,1999,"41,58"
Brasil,Amarela,2000,"74,09"
Brasil,Amarela,2001,"20,75"
Brasil,Amarela,2002,"52,71"
Brasil,Amarela,2003,"61,99"
Brasil,Amarela,2004,"35,26"
Brasil,Amarela,2005,"72,70"
Brasil,Amarela,2006,"108,75"
Brasil,Amarela,2007,"75,32"
Brasil,Amarela,2008,"89,05"
Brasil,Amarela,2009,"34,45"
Brasil,Amarela,2010,"73,92"
Brasil,Amarela,2011,"36,57"
Brasil,Amarela,2012,"27,05"
Brasil,Amarela,2013,"25,89"
Brasil,Amarela,2014,"25,84"
Brasil,Amarela,2015,"18,36"
Brasil,Amarela,2016,"28,71"
Brasil,Amarela,2017,"66,88"
Brasil,Amarela,2018,"61,76"
Brasil,Amarela,2019,"7,85"
Brasil,Amarela,2020,"81,24"
Brasil,Amarela,2021,"49,42"
Brasil,Amarela, Total período,"55,76"
Brasil,Branca,1996,"105,83"
Brasil,Branca,1997,"70,03"
Brasil,Branca,1998,"75,21"
Brasil,Branca,1999,"49,34"
Brasil,Branca,2000,"41,47"
Brasil,Branca,2001,"38,71"
Brasil,Branca,2002,"42,20"
Brasil,Branca,2003,"40,71"
Brasil,Branca,2004,"43,95"
Brasil,Branca,2005,"39,70"
Brasil,Branca,2006,"43,33"
Brasil,Branca,2007,"40,37"
Brasil,Branca,2008,"44,20"
Brasil,Branca,2009,"49,66"
Brasil,Branca,2010,"46,41"
Brasil,Branca,2011,"42,98"
Brasil,Branca,2012,"49,06"
Brasil,Branca,2013,"49,53"
Brasil,Branca,2014,"49,42"
Brasil,Branca,2015,"52,20"
Brasil,Branca,2016,"52,33"
Brasil,Branca,2017,"54,93"
Brasil,Branca,2018,"49,91"
Brasil,Branca,2019,"49,25"
Brasil,Branca,2020,"64,83"
Brasil,Branca,2021,"120,98"
Brasil,Branca, Total período,"49,94"
Brasil,Ignorado,1994,"0,00"
Brasil,Ignorado,1995,"0,00"
Brasil,Ignorado,1996,"50,79"
Brasil,Ignorado,1997,"52,19"
Brasil,Ignorado,1998,"41,53"
Brasil,Ignorado,1999,"52,92"
Brasil,Ignorado,2000,"68,20"
Brasil,Ignorado,2001,"58,54"
Brasil,Ignorado,2002,"52,44"
Brasil,Ignorado,2003,"53,78"
Brasil,Ignorado,2004,"48,35"
Brasil,Ignorado,2005,"46,14"
Brasil,Ignorado,2006,"55,86"
Brasil,Ignorado,2007,"56,51"
Brasil,Ignorado,2008,"63,86"
Brasil,Ignorado,2009,"91,50"
Brasil,Ignorado,2010,"71,75"
Brasil,Ignorado,2011,"83,43"
Brasil,Ignorado,2012,"60,42"
Brasil,Ignorado,2013,"58,15"
Brasil,Ignorado,2014,"48,65"
Brasil,Ignorado,2015,"46,18"
Brasil,Ignorado,2016,"39,51"
Brasil,Ignorado,2017,"36,84"
Brasil,Ignorado,2018,"40,47"
Brasil,Ignorado,2019,"48,01"
Brasil,Ignorado,2020,"74,77"
Brasil,Ignorado,2021,"84,38"
Brasil,Ignorado, Total período,"35,55"
Brasil,Indígena,1996,"339,56"
Brasil,Indígena,1997,"84,51"
Brasil,Indígena,1998,"100,65"
Brasil,Indígena,1999,"13,82"
Brasil,Indígena,2000,"86,38"
Brasil,Indígena,2001,"135,92"
Brasil,Indígena,2002,"76,21"
Brasil,Indígena,2003,"60,77"
Brasil,Indígena,2004,"68,87"
Brasil,Indígena,2005,"137,52"
Brasil,Indígena,2006,"124,78"
Brasil,Indígena,2007,"155,08"
Brasil,Indígena,2008,"86,46"
Brasil,Indígena,2009,"157,32"
Brasil,Indígena,2010,"113,30"
Brasil,Indígena,2011,"147,88"
