local,raca_cor,ano,incidencia_cancer_colo_utero
Brasil,Amarela,1998,3
Brasil,Branca,1998,175
Brasil,Indígena,1998,0
Brasil,Parda,1998,68
Brasil,Preta,1998,26
Brasil,Ignorado,1998,51
Brasil,Total,1998,323
Ceará,Amarela,1998,0
Ceará,Branca,1998,1
Ceará,Indígena,1998,0
Ceará,Parda,1998,6
Ceará,Preta,1998,0
Ceará,Ignorado,1998,0
Ceará,Total,1998,7
Fortaleza,Amarela,1998,0
Fortaleza,Branca,1998,0
Fortaleza,Indígena,1998,0
Fortaleza,Parda,1998,4
Fortaleza,Preta,1998,0
Fortaleza,Ignorado,1998,0
Fortaleza,Total,1998,4
Nordeste,Amarela,1998,1
Nordeste,Branca,1998,19
Nordeste,Indígena,1998,0
Nordeste,Parda,1998,35
Nordeste,Preta,1998,7
Nordeste,Ignorado,1998,34
Nordeste,Total,1998,96
Brasil,Amarela,1999,37
Brasil,Branca,1999,460
Brasil,Indígena,1999,0
Brasil,Parda,1999,513
Brasil,Preta,1999,151
Brasil,Ignorado,1999,170
Brasil,Total,1999,1331
Ceará,Amarela,1999,0
Ceará,Branca,1999,1
Ceará,Indígena,1999,0
Ceará,Parda,1999,9
Ceará,Preta,1999,0
Ceará,Ignorado,1999,1
Ceará,Total,1999,11
Fortaleza,Amarela,1999,0
Fortaleza,Branca,1999,0
Fortaleza,Indígena,1999,0
Fortaleza,Parda,1999,7
Fortaleza,Preta,1999,0
Fortaleza,Ignorado,1999,0
Fortaleza,Total,1999,7
Nordeste,Amarela,1999,35
Nordeste,Branca,1999,180
Nordeste,Indígena,1999,0
Nordeste,Parda,1999,370
Nordeste,Preta,1999,116
Nordeste,Ignorado,1999,78
Nordeste,Total,1999,779
Brasil,Amarela,2000,52
Brasil,Branca,2000,1992
Brasil,Indígena,2000,7
Brasil,Parda,2000,2640
Brasil,Preta,2000,395
Brasil,Ignorado,2000,3327
Brasil,Total,2000,8413
Ceará,Amarela,2000,1
Ceará,Branca,2000,104
Ceará,Indígena,2000,0
Ceará,Parda,2000,201
Ceará,Preta,2000,4
Ceará,Ignorado,2000,9
Ceará,Total,2000,319
Fortaleza,Amarela,2000,1
Fortaleza,Branca,2000,55
Fortaleza,Indígena,2000,0
Fortaleza,Parda,2000,80
Fortaleza,Preta,2000,2
Fortaleza,Ignorado,2000,3
Fortaleza,Total,2000,141
Nordeste,Amarela,2000,46
Nordeste,Branca,2000,580
Nordeste,Indígena,2000,2
Nordeste,Parda,2000,1309
Nordeste,Preta,2000,142
Nordeste,Ignorado,2000,258
Nordeste,Total,2000,2337
Brasil,Amarela,2001,33
Brasil,Branca,2001,2576
Brasil,Indígena,2001,10
Brasil,Parda,2001,3878
Brasil,Preta,2001,626
Brasil,Ignorado,2001,3834
Brasil,Total,2001,10957
Ceará,Amarela,2001,5
Ceará,Branca,2001,105
