local,raca_cor,ano,mortalidade_cancer_colo
Brasil,Amarela,1996,28
Brasil,Amarela,1997,29
Brasil,Amarela,1998,34
Brasil,Amarela,1999,82
Brasil,Amarela,2000,32
Brasil,Amarela,2001,23
Brasil,Amarela,2002,13
Brasil,Amarela,2003,14
Brasil,Amarela,2004,27
Brasil,Amarela,2005,33
Brasil,Amarela,2006,18
Brasil,Amarela,2007,17
Brasil,Amarela,2008,22
Brasil,Amarela,2009,20
Brasil,Amarela,2010,25
Brasil,Amarela,2011,26
Brasil,Amarela,2012,17
Brasil,Amarela,2013,27
Brasil,Amarela,2014,15
Brasil,Amarela,2015,19
Brasil,Amarela,2016,32
Brasil,Amarela,2017,31
Brasil,Amarela,2018,27
Brasil,Amarela,2019,28
Brasil,Amarela,2020,30
Brasil,Amarela,2021,33
Brasil,Amarela,2022,29
Brasil,Branca,1996,36
Brasil,Branca,1997,1055
Brasil,Branca,1998,1587
Brasil,Branca,1999,1815
Brasil,Branca,2000,2065
Brasil,Branca,2001,2188
Brasil,Branca,2002,2107
Brasil,Branca,2003,2204
Brasil,Branca,2004,2256
Brasil,Branca,2005,2180
Brasil,Branca,2006,2120
Brasil,Branca,2007,2144
Brasil,Branca,2008,2227
Brasil,Branca,2009,2266
Brasil,Branca,2010,2239
Brasil,Branca,2011,2198
Brasil,Branca,2012,2260
Brasil,Branca,2013,2254
Brasil,Branca,2014,2242
Brasil,Branca,2015,2397
Brasil,Branca,2016,2366
Brasil,Branca,2017,2605
Brasil,Branca,2018,2650
Brasil,Branca,2019,2639
Brasil,Branca,2020,2654
Brasil,Branca,2021,2697
Brasil,Branca,2022,2839
Brasil,Ignorado,1996,3206
Brasil,Ignorado,1997,1769
Brasil,Ignorado,1998,1070
Brasil,Ignorado,1999,846
Brasil,Ignorado,2000,530
Brasil,Ignorado,2001,463
Brasil,Ignorado,2002,370
Brasil,Ignorado,2003,309
Brasil,Ignorado,2004,272
Brasil,Ignorado,2005,330
Brasil,Ignorado,2006,333
Brasil,Ignorado,2007,338
Brasil,Ignorado,2008,309
Brasil,Ignorado,2009,329
Brasil,Ignorado,2010,262
Brasil,Ignorado,2011,295
Brasil,Ignorado,2012,217
Brasil,Ignorado,2013,225
Brasil,Ignorado,2014,233
Brasil,Ignorado,2015,204
Brasil,Ignorado,2016,200
Brasil,Ignorado,2017,205
Brasil,Ignorado,2018,179
Brasil,Ignorado,2019,172
Brasil,Ignorado,2020,146
Brasil,Ignorado,2021,150
Brasil,Ignorado,2022,146
Brasil,Indígena,1996,2
Brasil,Indígena,1997,8
Brasil,Indígena,1998,5
Brasil,Indígena,1999,11
Brasil,Indígena,2000,8
Brasil,Indígena,2001,11
Brasil,Indígena,2002,9
Brasil,Indígena,2003,10
Brasil,Indígena,2004,22
Brasil,Indígena,2005,13
Brasil,Indígena,2006,26
Brasil,Indígena,2007,21
Brasil,Indígena,2008,24
Brasil,Indígena,2009,26
Brasil,Indígena,2010,20
Brasil,Indígena,2011,17
Brasil,Indígena,2012,22
Brasil,Indígena,2013,26
Brasil,Indígena,2014,23
Brasil,Indígena,2015,32
Brasil,Indígena,2016,27
Brasil,Indígena,2017,48
Brasil,Indígena,2018,39
Brasil,Indígena,2019,40
Brasil,Indígena,2020,37
Brasil,Indígena,2021,39
Brasil,Indígena,2022,47
Brasil,Parda,1996,9
Brasil,Parda,1997,441
Brasil,Parda,1998,756
Brasil,Parda,1999,899
Brasil,Parda,2000,1079
Brasil,Parda,2001,1194
Brasil,Parda,2002,1261
Brasil,Parda,2003,1323
Brasil,Parda,2004,1450
Brasil,Parda,2005,1586
Brasil,Parda,2006,1764
Brasil,Parda,2007,1814
Brasil,Parda,2008,1921
Brasil,Parda,2009,2036
Brasil,Parda,2010,2060
Brasil,Parda,2011,2190
Brasil,Parda,2012,2350
Brasil,Parda,2013,2460
Brasil,Parda,2014,2512
Brasil,Parda,2015,2597
Brasil,Parda,2016,2737
Brasil,Parda,2017,3055
Brasil,Parda,2018,3110
Brasil,Parda,2019,3203
Brasil,Parda,2020,3208
Brasil,Parda,2021,3114
Brasil,Parda,2022,3324
Brasil,Preta,1996,1
Brasil,Preta,1997,149
Brasil,Preta,1998,188
Brasil,Preta,1999,226
Brasil,Preta,2000,241
Brasil,Preta,2001,339
Brasil,Preta,2002,331
Brasil,Preta,2003,342
Brasil,Preta,2004,366
Brasil,Preta,2005,364
Brasil,Preta,2006,341
Brasil,Preta,2007,357
Brasil,Preta,2008,370
Brasil,Preta,2009,386
Brasil,Preta,2010,380
Brasil,Preta,2011,434
Brasil,Preta,2012,398
Brasil,Preta,2013,438
Brasil,Preta,2014,423
Brasil,Preta,2015,478
Brasil,Preta,2016,485
Brasil,Preta,2017,441
Brasil,Preta,2018,521
Brasil,Preta,2019,514
Brasil,Preta,2020,552
Brasil,Preta,2021,573
Brasil,Preta,2022,598
Ceará,Amarela,1996,-
Ceará,Amarela,1997,-
Ceará,Amarela,1998,-
Ceará,Amarela,1999,7
Ceará,Amarela,2000,2
