local,raca_cor,ano,mortalidade_cancer_mama
Ceará,Amarela,1996,-
Ceará,Amarela,1997,-
Ceará,Amarela,1998,3
Ceará,Amarela,1999,34
Ceará,Amarela,2000,2
Ceará,Amarela,2001,2
Ceará,Amarela,2002,-
Ceará,Amarela,2003,3
Ceará,Amarela,2004,2
Ceará,Amarela,2005,-
Ceará,Amarela,2006,2
Ceará,Amarela,2007,-
Ceará,Amarela,2008,1
Ceará,Amarela,2009,1
Ceará,Amarela,2010,4
Ceará,Amarela,2011,-
Ceará,Amarela,2012,4
Ceará,Amarela,2013,1
Ceará,Amarela,2014,1
Ceará,Amarela,2015,1
Ceará,Amarela,2016,1
Ceará,Amarela,2017,3
Ceará,Amarela,2018,2
Ceará,Amarela,2019,2
Ceará,Amarela,2020,2
Ceará,Amarela,2021,2
Ceará,Amarela,2022,2
Fortaleza,Amarela,1996,-
Fortaleza,Amarela,1997,-
Fortaleza,Amarela,1998,-
Fortaleza,Amarela,1999,23
Fortaleza,Amarela,2000,1
Fortaleza,Amarela,2001,-
Fortaleza,Amarela,2002,-
Fortaleza,Amarela,2003,1
Fortaleza,Amarela,2004,-
Fortaleza,Amarela,2005,-
Fortaleza,Amarela,2006,1
Fortaleza,Amarela,2007,-
Fortaleza,Amarela,2008,-
Fortaleza,Amarela,2009,1
Fortaleza,Amarela,2010,3
Fortaleza,Amarela,2011,-
Fortaleza,Amarela,2012,2
Fortaleza,Amarela,2013,1
Fortaleza,Amarela,2014,1
Fortaleza,Amarela,2015,-
Fortaleza,Amarela,2016,1
Fortaleza,Amarela,2017,-
Fortaleza,Amarela,2018,-
Fortaleza,Amarela,2019,-
Fortaleza,Amarela,2020,-
Fortaleza,Amarela,2021,1
Fortaleza,Amarela,2022,-
Brasil,Amarela,1996,152
Brasil,Amarela,1997,77
Brasil,Amarela,1998,65
Brasil,Amarela,1999,217
Brasil,Amarela,2000,94
Brasil,Amarela,2001,66
Brasil,Amarela,2002,52
Brasil,Amarela,2003,59
Brasil,Amarela,2004,62
Brasil,Amarela,2005,71
Brasil,Amarela,2006,66
Brasil,Amarela,2007,55
Brasil,Amarela,2008,59
Brasil,Amarela,2009,51
Brasil,Amarela,2010,69
Brasil,Amarela,2011,76
Brasil,Amarela,2012,96
Brasil,Amarela,2013,85
Brasil,Amarela,2014,78
Brasil,Amarela,2015,86
Brasil,Amarela,2016,89
Brasil,Amarela,2017,86
Brasil,Amarela,2018,106
Brasil,Amarela,2019,93
Brasil,Amarela,2020,107
Brasil,Amarela,2021,110
Brasil,Amarela,2022,100
Nordeste,Amarela,1996,-
Nordeste,Amarela,1997,11
Nordeste,Amarela,1998,7
Nordeste,Amarela,1999,77
Nordeste,Amarela,2000,3
Nordeste,Amarela,2001,6
Nordeste,Amarela,2002,5
Nordeste,Amarela,2003,11
Nordeste,Amarela,2004,7
Nordeste,Amarela,2005,14
Nordeste,Amarela,2006,11
Nordeste,Amarela,2007,3
Nordeste,Amarela,2008,7
Nordeste,Amarela,2009,7
Nordeste,Amarela,2010,12
Nordeste,Amarela,2011,11
Nordeste,Amarela,2012,17
Nordeste,Amarela,2013,11
Nordeste,Amarela,2014,8
Nordeste,Amarela,2015,7
Nordeste,Amarela,2016,7
Nordeste,Amarela,2017,11
Nordeste,Amarela,2018,8
Nordeste,Amarela,2019,8
Nordeste,Amarela,2020,15
Nordeste,Amarela,2021,14
Nordeste,Amarela,2022,10
Ceará,Branca,1996,-
Ceará,Branca,1997,16
Ceará,Branca,1998,34
Ceará,Branca,1999,51
Ceará,Branca,2000,99
Ceará,Branca,2001,92
Ceará,Branca,2002,121
Ceará,Branca,2003,108
Ceará,Branca,2004,118
Ceará,Branca,2005,121
Ceará,Branca,2006,164
Ceará,Branca,2007,151
Ceará,Branca,2008,185
Ceará,Branca,2009,167
Ceará,Branca,2010,169
Ceará,Branca,2011,180
Ceará,Branca,2012,154
Ceará,Branca,2013,190
Ceará,Branca,2014,194
Ceará,Branca,2015,218
Ceará,Branca,2016,205
Ceará,Branca,2017,225
Ceará,Branca,2018,220
Ceará,Branca,2019,235
Ceará,Branca,2020,233
Ceará,Branca,2021,269
Ceará,Branca,2022,255
Fortaleza,Branca,1996,-
Fortaleza,Branca,1997,5
Fortaleza,Branca,1998,11
Fortaleza,Branca,1999,17
Fortaleza,Branca,2000,59
Fortaleza,Branca,2001,54
Fortaleza,Branca,2002,44
Fortaleza,Branca,2003,55
Fortaleza,Branca,2004,55
Fortaleza,Branca,2005,53
Fortaleza,Branca,2006,73
Fortaleza,Branca,2007,66
Fortaleza,Branca,2008,90
Fortaleza,Branca,2009,81
Fortaleza,Branca,2010,77
Fortaleza,Branca,2011,89
Fortaleza,Branca,2012,73
Fortaleza,Branca,2013,93
Fortaleza,Branca,2014,90
Fortaleza,Branca,2015,98
Fortaleza,Branca,2016,87
Fortaleza,Branca,2017,117
Fortaleza,Branca,2018,98
Fortaleza,Branca,2019,106
Fortaleza,Branca,2020,109
Fortaleza,Branca,2021,116
Fortaleza,Branca,2022,120
Brasil,Branca,1996,87
Brasil,Branca,1997,2852
Brasil,Branca,1998,4537
Brasil,Branca,1999,4914
