local,idade,ano,genero,media_anos_estudo
Brasil,15 anos ou mais,2016,Total,"9,4"
Brasil,15 a 17 anos,2016,Total,9
Brasil,18 a 29 anos,2016,Total,11
Brasil,18 a 24 anos,2016,Total,"11,1"
Brasil,25 anos ou mais,2016,Total,"9,1"
Brasil,25 a 39 anos,2016,Total,"10,9"
Brasil,40 a 59 anos,2016,Total,"8,8"
Brasil,60 anos ou mais,2016,Total,6
Nordeste,15 anos ou mais,2016,Total,"8,2"
Nordeste,15 a 17 anos,2016,Total,"8,6"
Nordeste,18 a 29 anos,2016,Total,"10,3"
Nordeste,18 a 24 anos,2016,Total,"10,4"
Nordeste,25 anos ou mais,2016,Total,"7,7"
Nordeste,25 a 39 anos,2016,Total,"9,7"
Nordeste,40 a 59 anos,2016,Total,"7,3"
Nordeste,60 anos ou mais,2016,Total,"4,3"
Ceará,15 anos ou mais,2016,Total,"8,1"
Ceará,15 a 17 anos,2016,Total,"8,9"
Ceará,18 a 29 anos,2016,Total,"10,6"
Ceará,18 a 24 anos,2016,Total,"10,5"
Ceará,25 anos ou mais,2016,Total,"7,5"
Ceará,25 a 39 anos,2016,Total,"9,7"
Ceará,40 a 59 anos,2016,Total,"6,9"
Ceará,60 anos ou mais,2016,Total,"4,3"
Fortaleza,15 anos ou mais,2016,Total,10
Fortaleza,15 a 17 anos,2016,Total,9
Fortaleza,18 a 29 anos,2016,Total,11
Fortaleza,18 a 24 anos,2016,Total,"11,2"
Fortaleza,25 anos ou mais,2016,Total,"9,9"
Fortaleza,25 a 39 anos,2016,Total,"11,2"
Fortaleza,40 a 59 anos,2016,Total,"9,5"
Fortaleza,60 anos ou mais,2016,Total,"7,8"
Brasil,15 anos ou mais,2016,Masc,"9,1"
Brasil,15 a 17 anos,2016,Masc,"8,7"
Brasil,18 a 29 anos,2016,Masc,"10,6"
Brasil,18 a 24 anos,2016,Masc,"10,8"
Brasil,25 anos ou mais,2016,Masc,"8,9"
Brasil,25 a 39 anos,2016,Masc,"10,5"
Brasil,40 a 59 anos,2016,Masc,"8,5"
Brasil,60 anos ou mais,2016,Masc,"6,1"
Nordeste,15 anos ou mais,2016,Masc,"7,7"
Nordeste,15 a 17 anos,2016,Masc,"8,2"
Nordeste,18 a 29 anos,2016,Masc,"9,9"
Nordeste,18 a 24 anos,2016,Masc,"9,9"
Nordeste,25 anos ou mais,2016,Masc,"7,3"
Nordeste,25 a 39 anos,2016,Masc,"9,1"
Nordeste,40 a 59 anos,2016,Masc,"6,7"
Nordeste,60 anos ou mais,2016,Masc,"4,1"
Ceará,15 anos ou mais,2016,Masc,"7,7"
Ceará,15 a 17 anos,2016,Masc,"8,5"
Ceará,18 a 29 anos,2016,Masc,"10,2"
Ceará,18 a 24 anos,2016,Masc,"10,1"
Ceará,25 anos ou mais,2016,Masc,7
Ceará,25 a 39 anos,2016,Masc,"9,2"
Ceará,40 a 59 anos,2016,Masc,"6,2"
Ceará,60 anos ou mais,2016,Masc,"3,7"
Fortaleza,15 anos ou mais,2016,Masc,"9,8"
Fortaleza,15 a 17 anos,2016,Masc,"8,8"
Fortaleza,18 a 29 anos,2016,Masc,"10,8"
Fortaleza,18 a 24 anos,2016,Masc,11
Fortaleza,25 anos ou mais,2016,Masc,"9,7"
Fortaleza,25 a 39 anos,2016,Masc,"10,8"
Fortaleza,40 a 59 anos,2016,Masc,"9,3"
Fortaleza,60 anos ou mais,2016,Masc,"7,6"
Brasil,15 anos ou mais,2016,Fem,"9,5"
Brasil,15 a 17 anos,2016,Fem,"9,3"
Brasil,18 a 29 anos,2016,Fem,"11,4"
Brasil,18 a 24 anos,2016,Fem,"11,5"
Brasil,25 anos ou mais,2016,Fem,"9,2"
Brasil,25 a 39 anos,2016,Fem,"11,3"
Brasil,40 a 59 anos,2016,Fem,"9,1"
Brasil,60 anos ou mais,2016,Fem,"5,9"
Nordeste,15 anos ou mais,2016,Fem,"8,6"
Nordeste,15 a 17 anos,2016,Fem,9
Nordeste,18 a 29 anos,2016,Fem,"10,8"
Nordeste,18 a 24 anos,2016,Fem,"10,9"
Nordeste,25 anos ou mais,2016,Fem,"8,1"
Nordeste,25 a 39 anos,2016,Fem,"10,3"
Nordeste,40 a 59 anos,2016,Fem,"7,8"
Nordeste,60 anos ou mais,2016,Fem,"4,5"
Ceará,15 anos ou mais,2016,Fem,"8,6"
Ceará,15 a 17 anos,2016,Fem,"9,2"
