local,raca_cor,ano,genero,pessoas_nivel_escolaridade,nivel_escolaridade
Brasil,Total,2016,Fem,14927,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2016,Fem,27897,Médio completo ou equivalente e superior incompleto
Brasil,Total,2016,Fem,29416,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2016,Fem,11730,Superior completo
Brasil,Total,2017,Fem,14690,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2017,Fem,28756,Médio completo ou equivalente e superior incompleto
Brasil,Total,2017,Fem,29142,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2017,Fem,12372,Superior completo
Brasil,Total,2018,Fem,14423,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2018,Fem,29683,Médio completo ou equivalente e superior incompleto
Brasil,Total,2018,Fem,28670,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2018,Fem,13128,Superior completo
Brasil,Total,2019,Fem,14330,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2019,Fem,30441,Médio completo ou equivalente e superior incompleto
Brasil,Total,2019,Fem,27922,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2019,Fem,14137,Superior completo
Brasil,Total,2022,Fem,14456,Fundamental completo e médio incompleto ou equivalente
Brasil,Total,2022,Fem,32279,Médio completo ou equivalente e superior incompleto
Brasil,Total,2022,Fem,26530,Sem instrução e fundamental incompleto ou equivalente
Brasil,Total,2022,Fem,16147,Superior completo
Ceará,Total,2016,Fem,733,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2016,Fem,1094,Médio completo ou equivalente e superior incompleto
Ceará,Total,2016,Fem,1486,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2016,Fem,325,Superior completo
Ceará,Total,2017,Fem,709,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2017,Fem,1153,Médio completo ou equivalente e superior incompleto
Ceará,Total,2017,Fem,1459,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2017,Fem,352,Superior completo
Ceará,Total,2018,Fem,693,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2018,Fem,1206,Médio completo ou equivalente e superior incompleto
Ceará,Total,2018,Fem,1422,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2018,Fem,409,Superior completo
Ceará,Total,2019,Fem,682,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2019,Fem,1232,Médio completo ou equivalente e superior incompleto
Ceará,Total,2019,Fem,1377,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2019,Fem,441,Superior completo
Ceará,Total,2022,Fem,681,Fundamental completo e médio incompleto ou equivalente
Ceará,Total,2022,Fem,1356,Médio completo ou equivalente e superior incompleto
Ceará,Total,2022,Fem,1379,Sem instrução e fundamental incompleto ou equivalente
Ceará,Total,2022,Fem,489,Superior completo
Fortaleza,Total,2016,Fem,252,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2016,Fem,422,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2016,Fem,291,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2016,Fem,165,Superior completo
Fortaleza,Total,2017,Fem,220,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2017,Fem,439,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2017,Fem,306,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2017,Fem,169,Superior completo
Fortaleza,Total,2018,Fem,193,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2018,Fem,445,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2018,Fem,289,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2018,Fem,205,Superior completo
Fortaleza,Total,2019,Fem,201,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2019,Fem,447,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2019,Fem,278,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2019,Fem,216,Superior completo
Fortaleza,Total,2022,Fem,215,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2022,Fem,473,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2022,Fem,296,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2022,Fem,214,Superior completo
Nordeste,Total,2016,Fem,3868,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2016,Fem,6910,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2016,Fem,9710,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2016,Fem,2132,Superior completo
Nordeste,Total,2017,Fem,3807,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2017,Fem,7157,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2017,Fem,9660,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2017,Fem,2258,Superior completo
Nordeste,Total,2018,Fem,3752,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2018,Fem,7378,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2018,Fem,9405,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2018,Fem,2505,Superior completo
