local,ano,numero_notificacoes,autor_violencia
Fortaleza,2009,6,Cônjuge
Fortaleza,2009,1,Namorado
Fortaleza,2009,3,Ex-cônjuge
Fortaleza,2009,20,Outros
Fortaleza,2009,30,Total
Fortaleza,2010,4,Cônjuge
Fortaleza,2010,1,Ex-cônjuge
Fortaleza,2010,14,Outros
Fortaleza,2010,19,Total
Fortaleza,2011,4,Cônjuge
Fortaleza,2011,1,Ex-cônjuge
Fortaleza,2011,8,Outros
Fortaleza,2011,13,Total
Fortaleza,2012,84,Cônjuge
Fortaleza,2012,1,Ex-namorado
Fortaleza,2012,2,Namorado
Fortaleza,2012,32,Ex-cônjuge
Fortaleza,2012,25,Outros
Fortaleza,2012,144,Total
Fortaleza,2013,22,Cônjuge
Fortaleza,2013,3,Ex-namorado
Fortaleza,2013,2,Namorado
Fortaleza,2013,11,Ex-cônjuge
Fortaleza,2013,40,Outros
Fortaleza,2013,78,Total
Fortaleza,2014,198,Cônjuge
Fortaleza,2014,33,Ex-namorado
Fortaleza,2014,61,Namorado
Fortaleza,2014,28,Ex-cônjuge
Fortaleza,2014,290,Outros
Fortaleza,2014,610,Total
Fortaleza,2015,109,Cônjuge
Fortaleza,2015,16,Ex-namorado
Fortaleza,2015,28,Namorado
Fortaleza,2015,14,Ex-cônjuge
Fortaleza,2015,461,Outros
Fortaleza,2015,628,Total
Fortaleza,2016,167,Cônjuge
Fortaleza,2016,43,Ex-namorado
Fortaleza,2016,103,Namorado
Fortaleza,2016,71,Ex-cônjuge
Fortaleza,2016,716,Outros
Fortaleza,2016,1100,Total
Fortaleza,2017,145,Cônjuge
Fortaleza,2017,32,Ex-namorado
Fortaleza,2017,145,Namorado
Fortaleza,2017,28,Ex-cônjuge
Fortaleza,2017,641,Outros
Fortaleza,2017,991,Total
Fortaleza,2018,564,Cônjuge
Fortaleza,2018,170,Ex-namorado
Fortaleza,2018,165,Namorado
Fortaleza,2018,400,Ex-cônjuge
Fortaleza,2018,1400,Outros
Fortaleza,2018,2699,Total
Fortaleza,2019,829,Cônjuge
Fortaleza,2019,238,Ex-namorado
Fortaleza,2019,218,Namorado
Fortaleza,2019,356,Ex-cônjuge
Fortaleza,2019,2296,Outros
Fortaleza,2019,3937,Total
Fortaleza,2020,534,Cônjuge
Fortaleza,2020,184,Ex-namorado
Fortaleza,2020,201,Namorado
Fortaleza,2020,187,Ex-cônjuge
Fortaleza,2020,1661,Outros
Fortaleza,2020,2767,Total
Fortaleza,2021,506,Cônjuge
Fortaleza,2021,153,Ex-namorado
Fortaleza,2021,244,Namorado
Fortaleza,2021,235,Ex-cônjuge
Fortaleza,2021,1735,Outros
Fortaleza,2021,2873,Total
Fortaleza,2022,969,Cônjuge
Fortaleza,2022,383,Ex-namorado
Fortaleza,2022,296,Namorado
Fortaleza,2022,803,Ex-cônjuge
Fortaleza,2022,3180,Outros
Fortaleza,2022,5631,Total
